x,y,1140,1200,1245,1310,label
339,54,1.0590142310481752,2.335873507087758,1.3682993169938995,2.3426142502444285,2
340,54,1.072033374289854,2.3712996562416304,1.3801578110078185,2.3442845245986987,2
338,55,1.0333569072817754,2.297357814375144,1.3443661949947985,2.3017743975709486,2
340,55,1.0981037979896098,2.4328087028826513,1.4237268001691565,2.4185171522436577,2
337,56,1.0151150767448183,2.24535752514153,1.3218553545226128,2.2669525661803327,2
338,56,0.9776000944557063,2.1770290702738344,1.2838773678698023,2.1964272864994396,2
339,56,0.9951836198075269,2.2172399159829546,1.3047041132561092,2.233231314082499,2
340,56,1.1472438819587536,2.5494175906987007,1.4965761302942853,2.552527005408797,2
336,57,0.990010976,2.201010218869274,1.2915101023619922,2.2155116876027856,2
337,57,0.9784984534852815,2.187833578532614,1.2929109968868948,2.220317984495495,2
338,57,0.9894188887384849,2.2134882617185303,1.3061082191078273,2.250343213079915,2
339,57,1.035635654116575,2.311473140204941,1.361403505427383,2.3386412902541815,2
340,57,1.188264562604389,2.657511036564122,1.5681864643102887,2.675126016835184,2
341,57,1.3555775125209253,3.0464314215637898,1.806370888974444,3.084048475496056,2
342,57,1.4186390112513252,3.186064176987049,1.878733564107256,3.1971513844235266,2
337,58,0.9976878208619361,2.2593688254625217,1.3380837501715095,2.3012083340779013,2
338,58,1.0309594581291983,2.3315571232732264,1.371754278059428,2.363382685329901,2
339,58,1.093451575883872,2.4684243188448214,1.4563458544975394,2.494944467636736,2
340,58,1.2190016927517462,2.7591945665177975,1.6301333334230323,2.7856393496363654,2
341,58,1.3143223649650215,2.9916266036598063,1.7727781114438717,3.0340407518507266,2
342,58,1.371963877867793,3.105928781684193,1.8314306764949309,3.112978679085297,2
336,59,0.9889028986632106,2.238787635814268,1.3220078792949572,2.2731118722011776,2
337,59,1.0643446676367487,2.420966888650874,1.433714283450769,2.460904374781244,2
338,59,1.1178995010814698,2.5310510237028927,1.4906763512698487,2.5526910593687093,2
339,59,1.1731559965153735,2.660993318931322,1.5712499869805148,2.681628880682136,2
340,59,1.2484339357028398,2.844023443278254,1.6805598373082986,2.873374898582061,2
341,59,1.3054234917254803,2.973657513283727,1.7646101568101924,3.013979310218422,2
342,59,1.3979277609717098,3.1514522912054077,1.8592146349073149,3.155916648430587,2
335,60,0.9455412438407564,2.147826409653989,1.2714310409004757,2.1819846040951796,2
336,60,1.064952656662708,2.4337887457989593,1.4383881053300163,2.4612292246968135,2
337,60,1.1320357778285752,2.5826471117998677,1.5280146474619458,2.598593073253111,2
338,60,1.1803379921389052,2.683289754788506,1.579100172322811,2.6826566359822737,2
339,60,1.2167125547920015,2.77321124496728,1.635509881225333,2.7842973134771474,2
340,60,1.2595180535392665,2.8800386672785985,1.7029153420444274,2.8993854344856373,2
341,60,1.30897636685885,2.988080064621041,1.7694648396837585,3.019092064524153,2
342,60,1.4433449561380551,3.2402119458834227,1.9120581297684263,3.2405174131941834,2
335,61,1.0331751408226626,2.363538678751522,1.398647927379182,2.3924022533813707,2
336,61,1.1214065436688405,2.567985647166578,1.5133663704385645,2.574293891721828,2
337,61,1.1629773244104125,2.6576588776580117,1.5667341050532968,2.64899402862238,2
338,61,1.1920960630321136,2.719698147211647,1.5967843669044586,2.704696943455026,2
339,61,1.214558085492701,2.7746202518953726,1.6382655531620363,2.7802736750837,2
