x,y,1140,1200,1245,1310,label
395,68,0.6388930311619325,1.488630962552132,0.9128000607136967,1.5466905773331736,7
396,68,0.6366583945324701,1.483702117043832,0.9026500203321992,1.5375220105292993,7
397,68,0.6237811358364695,1.438331085929923,0.8734188983995389,1.4858366525121849,7
398,68,0.6209378860059439,1.4046282897810094,0.8421094975817637,1.4223627637335057,7
399,68,0.7131282557960438,1.58547848658588,0.9379248148783011,1.5601919455743685,7
343,69,0.7708331748905913,1.6815810477526965,0.9667437906651314,1.631163254410289,7
393,69,0.8796896052181218,2.0709632543922925,1.2805276371278238,2.1364055232846124,7
394,69,0.9189345897163252,2.165494637203253,1.3414908707713205,2.2422307089968556,7
395,69,0.9677151047741047,2.260365255253403,1.395077630991206,2.332062135243047,7
396,69,1.0236837059688075,2.391089542995241,1.4641596526078122,2.4484449146278773,7
397,69,1.0769729442173521,2.500002360367408,1.5270279109590108,2.5633174126093685,7
398,69,1.0813984171295228,2.4947454767638506,1.5108686041196635,2.564086520107091,7
399,69,0.9962057781501089,2.2726890897249246,1.370176249466646,2.3210905194928326,7
400,69,0.9209269525446157,2.06415653270276,1.2251106900933653,2.048736908240107,7
343,70,0.6185138941617492,1.3595145840181153,0.7792257487026714,1.3246400917421102,7
344,70,0.686458513377564,1.4859017444798965,0.8707948702111933,1.4470115106745032,7
391,70,0.8976066962280194,2.1080930080822116,1.3039468535033192,2.1645041836093055,7
392,70,0.9164605825061198,2.169561373250078,1.3471444262085437,2.2344386141263266,7
393,70,0.9691261300312058,2.2918061757317347,1.420169508296847,2.352044872372982,7
394,70,1.0535920934102811,2.481619017427036,1.5322237659705513,2.551728762184628,7
395,70,1.1426444582426671,2.660973997060551,1.6313280446198233,2.7174828303256207,7
396,70,1.2287814297399728,2.8511689122105923,1.7385048397185303,2.888516509584983,7
397,70,1.310748660626758,3.0228525732122153,1.840012410235811,3.0568889799088557,7
398,70,1.3525926782629942,3.105919603618528,1.8756193025879706,3.1391371669629735,7
399,70,1.2996024808500324,2.9692327389567073,1.791519207962813,3.0172339272302993,7
400,70,1.1668092846339766,2.6429269463059475,1.5881954929557627,2.6704388051605212,7
343,71,0.9678444818366605,2.1915053435099474,1.302348608591006,2.2114085847643454,7
344,71,0.8937738873544555,2.016180833795406,1.1973457076006233,2.0381063106921955,7
345,71,0.7937972055471731,1.7812283537367972,1.0513398826950298,1.781334324754546,7
346,71,0.8705717637824509,1.925353569019409,1.1342186620397459,1.9092033033610272,7
389,71,0.896724683920001,2.1171227371891175,1.317903318079477,2.1916575642002893,7
390,71,0.9850543110269876,2.3176109003752288,1.4396666883157283,2.3900612450072773,7
391,71,1.0642047327329673,2.50592432804457,1.5497650214590428,2.5713615813170385,7
392,71,1.1644767321980882,2.740923783179384,1.6919120493391653,2.796472470582394,7
393,71,1.296641270832792,3.0265797810863675,1.8560000606593965,3.0685635343310738,7
394,71,1.4242066750648243,3.3149009274926065,2.0245421802153216,3.3455991970711616,7
397,71,1.5728044624908935,3.6225198895344612,2.2044910546693757,3.6123880911636017,7
398,71,1.571597325014907,3.6105562453002205,2.1905236110266344,3.589588356609859,7
399,71,1.5604980638232973,3.5775362333883414,2.171477962290231,3.567173993651672,7
400,71,1.5143408396356486,3.4625642378758235,2.100693375609961,3.4776906205206206,7
401,71,1.445474803766668,3.289405014807315,1.9763609258354289,3.279715641428684,7
342,72,0.9767344190566974,2.1953940597445984,1.3054147376959337,2.1979416677818837,7
343,72,1.053100414099024,2.3964359550178864,1.4355897908279134,2.425883566995631,7
344,72,1.0212132767011486,2.324513393009317,1.393487999483989,2.3579080640280776,7
345,72,0.9096635694123032,2.0712401174416115,1.2377506044779618,2.1016151966743375,7
346,72,0.8260677384853835,1.865933398539853,1.1023848749308691,1.8690297733470513,7
387,72,0.7834846014384651,1.8388484618205205,1.1456670618555151,1.9143779541420947,7
388,72,0.87540496825239,2.072633178450781,1.2888238532217067,2.147459829467155,7
389,72,0.9810471726451798,2.3193826718295587,1.4473899328337658,2.396612998907283,7
390,72,1.0967673085235217,2.5789351972340615,1.5988628870414692,2.642144367670406,7
391,72,1.224773500854661,2.8695305403331828,1.7643122248019512,2.9197006365001026,7
392,72,1.352165504644877,3.1593582094720367,1.9369432367149948,3.2028349459660106,7
393,72,1.4689598468818295,3.4164426658802687,2.086751641005101,3.441127783469585,7
394,72,1.5637805936287315,3.629830387543686,2.215014358020106,3.6451568003949557,7
397,72,1.6242677794993232,3.748765848307135,2.28183478896349,3.7439419126375273,7
398,72,1.5929530566107386,3.6709020336418536,2.2270059644896514,3.6525204367336412,7
399,72,1.587052574024232,3.651987442045146,2.216799868341808,3.643901901873718,7
400,72,1.5970189264365602,3.6605145602792777,2.2216228977885013,3.67523744373431,7
341,73,0.8069871342583258,1.8111920552155223,1.0587636144180228,1.7983109622435085,7
342,73,0.9088312014679865,2.0497751523821934,1.2270224008315882,2.051217430499855,7
343,73,1.1152541261746045,2.531444064744071,1.5251875710100413,2.5642209534710165,7
344,73,1.1504731497200074,2.6220231848033424,1.5761847762997032,2.662097207739683,7
345,73,1.068301297991835,2.4539505212787693,1.472151217325913,2.5004189861002377,7
346,73,0.9288911602987342,2.1211639822610304,1.2613420784980927,2.152496701613334,7
347,73,0.8625142536564,1.9280477808624636,1.1391965030087465,1.9210431284764604,7
386,73,0.8172914551021033,1.912106130494825,1.1892652313939513,1.9937436885226063,7
387,73,0.927439786625702,2.1762703313831313,1.3492772223479768,2.2500254466373097,7
388,73,1.0126798295668376,2.3920177827590132,1.480469388575481,2.458492220237884,7
389,73,1.1295921466818193,2.655071067276642,1.644608013275054,2.7222317215438996,7
390,73,1.270748263190515,2.9676801646399023,1.8267085818325546,3.0225130961573887,7
391,73,1.4079643751558637,3.2760324309452002,2.0054254221129657,3.316123587845841,7
392,73,1.5054797398893645,3.5029926604101083,2.137216547352907,3.5312530409322354,7
393,73,1.5753439002508032,3.6580388991131945,2.228722446030662,3.667886473346743,7
394,73,1.63668728182518,3.794658686355633,2.317221633279061,3.820697436218931,7
399,73,1.6074456119979235,3.7090903746658594,2.2541708315966313,3.7108490641284937,7
400,73,1.6570417539240987,3.7936334664787097,2.299287098418797,3.805704639910482,7
341,74,0.8536866175164196,1.927774615794951,1.1390039587150393,1.9261991667203155,7
342,74,1.0526539045534804,2.390838883605438,1.4407724626101115,2.4071919734644163,7
343,74,1.322541019103965,3.005874704501788,1.8103865892359505,3.0345821587528485,7
344,74,1.4023047720771695,3.195498279047137,1.9111196803560486,3.2118953421915117,7
345,74,1.3377463277538202,3.060259527444766,1.829614996341752,3.093009158238644,7
346,74,1.1620962278278302,2.6671032644286354,1.59183419674172,2.7029591885858606,7
347,74,0.9718213773016963,2.2071667946358886,1.3087593537629192,2.2123255277975757,7
348,74,0.9460643772607309,2.105761898522768,1.2393066680426443,2.0837635417891653,7
384,74,0.8179495877295954,1.8721500572512262,1.1429376648824614,1.92302859354678,7
385,74,0.9033492494908608,2.093886285629188,1.284921098110904,2.1466666443446605,7
386,74,1.0247474537160752,2.3733735579024144,1.4624586226115037,2.4424014047579807,7
387,74,1.109043880481831,2.5799076624626003,1.5883840246331011,2.636078578414648,7
388,74,1.1747911385874534,2.744131781358006,1.6839194472380545,2.786733982202051,7
389,74,1.3061193967852767,3.038925783549839,1.8674539134468462,3.0862198669845715,7
