x,y,1140,1200,1245,1310,label
448,21,1.016845363547094,2.344375261053501,1.458495878934677,2.5155826322981762,6
447,22,1.1913131310122447,2.7403459342722027,1.7138085906624145,2.950323756109703,6
448,22,1.3583533319002143,3.1288406919127087,1.9417422745528679,3.3318507853147,6
449,22,1.4472241419139644,3.3379269211457556,2.050518422289939,3.536809086215906,6
445,23,1.029600991209821,2.387265905589498,1.5074530994799804,2.606040173916084,6
446,23,1.2315617124641736,2.8401343392744516,1.7842986423233906,3.061679803274597,6
447,23,1.4520379949164677,3.3275409269191214,2.076574959064895,3.5602643891792916,6
448,23,1.6234883929208508,3.722922200799742,2.3102649904577546,3.9484333465912997,6
449,23,1.7036703292511393,3.9183954022831062,2.4160092064254086,4.141866280121904,6
450,23,1.630778670021973,3.733918713414993,2.2961468447386326,3.9739420114771553,6
451,23,1.3078346643194827,2.945217975924036,1.7850742873389391,3.0786115313547446,6
444,24,1.0291339722673345,2.3920279740210124,1.5100571436313732,2.5978189865382104,6
445,24,1.2477921598419521,2.879512277325981,1.8080400268239527,3.116695416602308,6
446,24,1.4580081178073683,3.3608026889396045,2.1049922559072156,3.6050954880358863,6
447,24,1.6301402679281853,3.7401110421139365,2.33731863779936,4.000593526379362,6
448,24,1.7405628633319257,3.9896340122052965,2.482159484792305,4.238935867936458,6
449,24,1.7851846563018863,4.104677814552567,2.5438243396171,4.34314884813633,6
450,24,1.7574163075333555,4.03231099854663,2.499381535674472,4.305865829702172,6
451,24,1.5768797149773628,3.5946070562415806,2.214597033611563,3.835429186667296,6
452,24,1.2410818850898309,2.7815024092338527,1.6843019714140515,2.8974951278853722,6
443,25,1.097490371794488,2.5484896727085364,1.6005488250029412,2.753579539657661,6
444,25,1.2808055177692983,2.969990347761743,1.8629620419725108,3.2038324254419477,6
445,25,1.4697296550518169,3.3928404080881447,2.124862789745333,3.6534274098079935,6
446,25,1.613146664764021,3.715925604009488,2.3310354925977186,3.991842025417694,6
447,25,1.7087269387957775,3.9270916310727104,2.4664664107340304,4.220713193333934,6
448,25,1.7640161080893575,4.0566133021475315,2.5420138375440806,4.338814112671666,6
449,25,1.7899149973680366,4.126573919731203,2.570593421613497,4.39366803491367,6
450,25,1.7918335466500819,4.120576060124525,2.5681348179449865,4.3981184976704935,6
451,25,1.7267976255143147,3.960708810437849,2.457914893417597,4.228307829504795,6
452,25,1.5497756518549526,3.5402127262416094,2.1770322552165107,3.764530585912837,6
453,25,1.2646746752543085,2.8660801405404728,1.7408211630469352,2.9985035897995798,6
442,26,1.2167218188703999,2.825268988814047,1.7743272585324559,3.0571612622041715,6
443,26,1.382808538190927,3.2033821661337276,2.0108327316638954,3.4490151204399613,6
444,26,1.5185291241269532,3.515130695929663,2.206236467201745,3.7803590296032286,6
445,26,1.6272508568056812,3.7502294197043993,2.3524819545112474,4.03597124121462,6
446,26,1.697442660932319,3.9075073500234976,2.4597017366182574,4.2060015418732455,6
447,26,1.7430222831009214,4.013995051234411,2.5314693980845386,4.328167997472859,6
448,26,1.7695590432765016,4.080427923443693,2.572625603676797,4.389136121371238,6
449,26,1.7756536867894068,4.109174550184053,2.5796726579076177,4.408914158639528,6
450,26,1.7874280522247603,4.123100485752903,2.586836988412371,4.427424367990176,6
451,26,1.781410863610356,4.092207401606785,2.5597120630606813,4.377869868832696,6
452,26,1.7217777174215039,3.954632813561308,2.4587035044333407,4.230924662718053,6
453,26,1.5640177147277505,3.5868645975318763,2.216647405834372,3.831181285260845,6
454,26,1.2743876597838775,2.8832078562699577,1.7581042600288268,3.040980162380334,6
360,27,0.9790180387488959,2.2474935801102176,1.3862763745502094,2.413877647306475,6
441,27,1.3194365485449162,3.059037918125804,1.9241707823179215,3.3133119415220427,6
442,27,1.4776032962431136,3.423126917003969,2.148497639583987,3.6962468554081993,6
443,27,1.5821806958393343,3.6612669408814584,2.301821653834071,3.945583337967239,6
444,27,1.6641416709993908,3.844472255783921,2.4216566079054727,4.145819930668679,6
445,27,1.7169550252268415,3.9584872072982558,2.491353171158343,4.272145515898832,6
446,27,1.7422495422421906,4.019599031319603,2.537755597664123,4.335475180098157,6
447,27,1.766814023158773,4.070799454819905,2.5721359516690034,4.405901384431233,6
448,27,1.7758021961170893,4.10508910528682,2.595301883589093,4.43613995803729,6
449,27,1.7669168276728648,4.100782249456782,2.5841285790814306,4.421922448447517,6
450,27,1.7716595352663385,4.0986778761258496,2.582438917230414,4.425798188698585,6
451,27,1.779188028297862,4.098744159376658,2.5793350089888314,4.4106797524599894,6
452,27,1.7612052518200076,4.052164868479151,2.5365129239263506,4.354242306231675,6
453,27,1.6882376453169656,3.8846705906161225,2.423591667846304,4.168006667677191,6
454,27,1.5335046217463395,3.5228591383276022,2.1793963315608242,3.772391185356414,6
455,27,1.2500385643917105,2.8336150241925093,1.7367120184901454,3.007871462237079,6
456,27,0.94320010033392,2.0900793024886175,1.2492306139108504,2.110609973620896,6
359,28,0.9564344919375273,2.210944167266933,1.3794080225581669,2.404496515449635,6
360,28,1.0853210161574187,2.4963689777340403,1.5563900645297997,2.690162145911572,6
361,28,1.1430722135070872,2.6152457145838004,1.6162036178974761,2.792140571598971,6
439,28,1.3910673133328044,3.198672948503354,1.9815624291879657,3.4068813956973645,6
440,28,1.4427968592087195,3.33239047199778,2.0808173036147224,3.588666883221035,6
441,28,1.548309641166175,3.58312098239883,2.251041752875251,3.868599063669747,6
442,28,1.6309682564052503,3.780207789133544,2.3768475439435406,4.082512388804718,6
443,28,1.682593189850313,3.8928224484921854,2.4528958598414348,4.198031870782515,6
444,28,1.7277576529730947,3.9967405515646504,2.5250019725534143,4.319495416353317,6
445,28,1.7575972969708438,4.057099161100151,2.5626402563302837,4.392924344635402,6
446,28,1.7677802801905813,4.07440607109459,2.5768123989173968,4.409831644382623,6
447,28,1.7771325014513495,4.104191146903988,2.5979483138128416,4.458742185685418,6
448,28,1.7832887432448026,4.13082110369595,2.612589041184959,4.472605998578661,6
449,28,1.768274356371983,4.105057376760464,2.587828723963566,4.439488604353778,6
450,28,1.7678262304194308,4.088028429495196,2.5807461036830817,4.430812472601127,6
451,28,1.7728633811776204,4.090786111570436,2.580018550673316,4.4215322323593895,6
452,28,1.7642884281490092,4.069658086298762,2.558798155113812,4.396158054616095,6
453,28,1.7237130316540372,3.9794565565346325,2.4969106309717772,4.27595700471272,6
454,28,1.6641008650117757,3.838086802833325,2.3908200662446686,4.111815840717296,6
455,28,1.5379684784656784,3.530136988895398,2.190329784272411,3.7957913834982353,6
456,28,1.2845705191738275,2.914755543632306,1.780751494386431,3.070657332683754,6
457,28,1.0306551510861508,2.2849703699132133,1.3592846704009716,2.292591155635896,6
359,29,1.0747756857384227,2.48447531749298,1.5627990318625806,2.7137309072827938,6
360,29,1.2166799194830673,2.7980731332820747,1.755758578426871,3.036018439860742,6
361,29,1.279095346585192,2.9422944866286,1.838722497005403,3.172538686889731,6
362,29,1.2653991050214548,2.905219068871958,1.8155105865856176,3.140850972053622,6
438,29,1.768483049330073,4.055334436219689,2.5037464671181793,4.3183213293037745,6
439,29,1.6934491860130736,3.8967097711362073,2.420748964029548,4.157939865401702,6
440,29,1.6647561598237313,3.8384445707402093,2.3991074832281236,4.11441560347648,6
441,29,1.6852517918732104,3.8992360971529743,2.4558740320618435,4.2068580624428025,6
442,29,1.7098941267529404,3.9643678591858738,2.502478126931375,4.288286430933966,6
443,29,1.726266305340975,4.002212198245402,2.532343725123543,4.326884648184749,6
444,29,1.7544242172984108,4.06480581367922,2.5779067367666557,4.406382562280275,6
445,29,1.7733136819853876,4.1012736635448785,2.594590568612175,4.455779583352665,6
446,29,1.7752001863270304,4.100957450675586,2.6010678053805654,4.450001954645294,6
447,29,1.78359152281404,4.122387092718929,2.6148411408416705,4.482706107515009,6
448,29,1.7861813861395992,4.142722383085439,2.6235674172087635,4.490235473369898,6
449,29,1.7675447922874807,4.109134868498825,2.5969815496210367,4.454256567532128,6
450,29,1.763106085252012,4.087236790668127,2.5870670420772726,4.438104757732071,6
451,29,1.7665269756187407,4.0807741449356705,2.583979058106776,4.428493305324676,6
452,29,1.7637208569691862,4.070555763657895,2.570069623090644,4.417304509958376,6
453,29,1.7357417235486956,4.0060201839621765,2.527364242078327,4.325119848007449,6
454,29,1.7148482184627472,3.956874741452952,2.4803093291131786,4.2447496682423,6
455,29,1.691756643689357,3.8972609041214916,2.434986264905807,4.199999054670121,6
456,29,1.5971930455836973,3.6711628372022154,2.2751426942344866,3.937858410143119,6
457,29,1.371188336475147,3.1099001680048435,1.8951239562999824,3.2570066144932066,6
458,29,1.2411312244580082,2.7527933606615957,1.6309707632771653,2.73748008370582,6
358,30,1.0452585249178752,2.4273797787623668,1.5467439968117112,2.6720951072875057,6
359,30,1.2135630882487936,2.8115347172045393,1.7719763644705475,3.0735935816164437,6
360,30,1.3519597972993327,3.1174499095362393,1.9631247389025928,3.3944576242413453,6
361,30,1.4069881784179592,3.234780204488588,2.0395683985714883,3.519120073627074,6
362,30,1.4211124033280835,3.271483796986546,2.067672075369697,3.5802564327728983,6
363,30,1.3270102264715573,3.052575029890778,1.9266723432122492,3.331712185353235,6
437,30,1.9532727386581856,4.461350863941913,2.740237582075456,4.690135345334009,6
438,30,1.905787585661834,4.368470971964131,2.70813816018716,4.6507546396145,6
439,30,1.8290182497335696,4.210028382134169,2.625122576413977,4.501561379885536,6
440,30,1.7706846009854247,4.078489491657509,2.5570210819285153,4.385102684560528,6
441,30,1.7510360577853699,4.055096121626369,2.557320174998303,4.374860187815423,6
442,30,1.7469245595140257,4.051997649663187,2.5626462582094613,4.3934694725211045,6
443,30,1.7470114985186658,4.054999758129598,2.567037941133902,4.398597239929559,6
444,30,1.7674156152289846,4.098917378427108,2.5987630671560558,4.45791513081033,6
445,30,1.7763118391657193,4.113544383979741,2.6039587543036267,4.476795175086859,6
446,30,1.7730674952165548,4.101342590765147,2.6005220905307453,4.4573124282370475,6
447,30,1.7787665180521697,4.116765938576828,2.6147481471471643,4.485694108124128,6
448,30,1.7838428569658948,4.132035783734397,2.6219050760724096,4.4922692693760515,6
449,30,1.7645362356050585,4.102225925495087,2.596467687632348,4.453019252739571,6
450,30,1.759957614766294,4.079364813743142,2.585383989350184,4.4372878869968675,6
451,30,1.7620634674703748,4.071324558199751,2.579189656068206,4.424836168688596,6
452,30,1.7580392957591418,4.062353098409109,2.570545804224144,4.412723295114486,6
453,30,1.7375130838843584,4.015111121384125,2.5356872949879516,4.347980027926006,6
454,30,1.732454722788626,4.004056737041652,2.5168523823308315,4.308333414808412,6
455,30,1.7445094280833253,4.024543278720704,2.5234194948415745,4.333404360096024,6
456,30,1.7308924233346925,3.9938408487365193,2.495290396761743,4.30114822979677,6
457,30,1.6191333255289324,3.7137074597241457,2.2914617872987355,3.961175003435844,6
458,30,1.4631958497846265,3.279062560820771,1.9751857691853003,3.366186076832395,6
358,31,1.1844237947484475,2.7445192923659376,1.7588573712827071,3.0375705740895556,6
359,31,1.3365529635400832,3.095590587670101,1.968952129777463,3.4020851321194767,6
360,31,1.4301093548522035,3.3083901915490364,2.1000978356352475,3.617084629507997,6
361,31,1.476534732248944,3.3966041500641486,2.1456946924576616,3.6948990675917606,6
362,31,1.4980484949729687,3.4448177204267236,2.182468677626827,3.7699989026296206,6
363,31,1.4868584415291257,3.4288099097565747,2.168527129830885,3.752608172518944,6
437,31,2.0387768526736476,4.649378390730937,2.875017907623734,4.906391253528273,6
438,31,1.9535114866908627,4.472414461476872,2.7847208665754355,4.779456982024037,6
439,31,1.8666909917232541,4.295162011041021,2.6806514800557846,4.60462006307417,6
440,31,1.802638917331731,4.1569635042809265,2.6059710533205744,4.481400134252396,6
441,31,1.77658053997058,4.114631863717788,2.602215480505559,4.454605862469813,6
442,31,1.763397001213165,4.091228492061419,2.5905386056734754,4.447357003916834,6
443,31,1.7554336469866272,4.071042654750822,2.58324573723115,4.428193515254052,6
444,31,1.7668786598533475,4.097258912763046,2.607850418997567,4.471823916465564,6
445,31,1.7704477069702933,4.101368188018635,2.6037869835527343,4.473291185609021,6
446,31,1.7659840554676975,4.083513124819302,2.594455745125854,4.447914656259417,6
447,31,1.772760602529437,4.094574448564336,2.603496447397482,4.474154254039059,6
