x,y,1140,1200,1245,1310,label
462,4,1.343458803606549,3.517634427481628,2.129771358184786,3.3705499350801715,3
463,4,1.5243253246519595,4.000014215738181,2.4215793984971503,3.8678883991654476,3
464,4,1.5493410395911738,4.077189725421732,2.4821173240263112,3.971432312262402,3
459,5,1.0265407155138824,2.7718904347041313,1.682442395736389,2.5863567626803774,3
460,5,1.2462925070401072,3.3695323379810262,2.0382169028874544,3.14681040302214,3
461,5,1.4814646374954106,4.020213475184888,2.4362390374033147,3.806562966331766,3
462,5,1.667309270966615,4.534257079044627,2.7633816789619576,4.341573064171099,3
463,5,1.7640335814439316,4.832922591587996,2.9516543980582335,4.606985479526691,3
464,5,1.7256905796411939,4.813666394758793,2.963525233272613,4.590799304498003,3
465,5,1.5206141496513592,4.393140246131561,2.7273901042382995,4.112490991995271,3
466,5,1.2647132814930497,3.902654819409253,2.4395728822081466,3.487089811298095,3
467,5,1.141184907362914,3.8046508598673188,2.4061632975703513,3.3379128796326496,3
456,6,0.8571481177168385,2.3930976001743547,1.4574261013845882,2.199093514795514,3
457,6,1.0062362855910028,2.825826501499016,1.717142832680732,2.60366041326432,3
458,6,1.1763556399442283,3.3091893887863164,2.0150464839989515,3.0725461810535415,3
459,6,1.3623950469817325,3.850479339639491,2.3418634785237407,3.5872550430884136,3
460,6,1.5412125548559847,4.42444385757353,2.699033077356559,4.101136911649598,3
461,6,1.65628086429101,4.858551552982735,2.9790614986324555,4.510814545183106,3
462,6,1.6594888124012968,5.010836628499993,3.0951137318167006,4.617644832892657,3
463,6,1.5648757365917336,4.855706193592924,3.019133193840223,4.3564838971772035,3
464,6,1.453303056723468,4.667864576379041,2.9316143903884138,4.171114108911651,3
465,6,1.3207520937192878,4.390009515003033,2.7746799540203555,3.8804179335270703,3
466,6,1.247295892277764,4.324233594488484,2.746410798672497,3.756124787310419,3
467,6,1.3687883749300465,4.8462873835615525,3.103879243570895,4.342394042232668,3
468,6,1.3558098222515784,4.835204915661332,3.1274462529105302,4.466775489314143,3
469,6,1.1755996596808975,3.974561331005817,2.5316394475222106,3.483342442951376,3
292,7,1.6354102321815596,3.638268106230128,2.1406386189353537,3.644387680842305,3
454,7,0.8904423842308636,2.5498729381792105,1.551825597242895,2.3098657721651574,3
455,7,1.0731829734969671,3.1091730535415243,1.8964876239106108,2.8515028998232044,3
456,7,1.2529137454066899,3.6839620061237173,2.262960193703774,3.41829264742212,3
457,7,1.374206133624481,4.106258711126794,2.518631237861202,3.7808207414233124,3
458,7,1.473101226247896,4.496833919932592,2.76266655563951,4.110553155191326,3
459,7,1.5875974894342955,4.952799513058202,3.0526840275326723,4.51985797671203,3
460,7,1.6725113768928255,5.345296973455951,3.303162055609221,4.83461378464136,3
461,7,1.6724488751199504,5.50274985131498,3.424808986699507,4.9598655419576305,3
462,7,1.5874588176907365,5.427517055884374,3.409831755749636,4.857529845854864,3
463,7,1.428115310242663,5.068905426285274,3.207516177251275,4.426636465730124,3
464,7,1.3024618046927912,4.748346225588447,3.026934030874838,4.14421578992093,3
465,7,1.2016822967373966,4.381577274242924,2.792700648898829,3.8177056915822734,3
466,7,1.191355110672577,4.293258723231354,2.7294704426230476,3.7305933376718436,3
467,7,1.3423261361924135,4.708629392283628,2.9991276860603766,4.217732871557197,3
468,7,1.3783589480926528,4.7231959768641785,3.019816169838784,4.301720552200191,3
469,7,1.444139791516161,4.64249717582082,2.942356566514538,4.231224181594511,3
470,7,1.5123026117365581,4.423620992615765,2.7566223623864836,4.179949393564783,3
471,7,1.5327224904431642,4.086149500399377,2.498201493271671,3.872279065406387,3
291,8,0.9546339351209321,2.158219987254711,1.266304700236812,2.094470689264038,3
292,8,1.009948601735116,2.2635436155486404,1.3250964539817813,2.2032339387627227,3
451,8,1.129504100757566,3.5291142931737887,2.1737462305016124,3.167164404493446,3
452,8,1.273015332032376,4.08596634778792,2.5205884098004665,3.673888444091863,3
453,8,1.4185101572423462,4.66838958642626,2.900250125359667,4.203783514082447,3
454,8,1.5397542925893521,5.1640250745479275,3.207528397650513,4.63078839426171,3
455,8,1.6267807965358052,5.5260432493835525,3.4425737855912466,4.952119776307822,3
456,8,1.663297686853719,5.716025243547162,3.5655884337115635,5.09967783174472,3
457,8,1.6840983030256387,5.903520038870037,3.6874213991928575,5.249637127457298,3
458,8,1.7120119308901216,6.075207871060543,3.800260789761007,5.40776921533681,3
459,8,1.7315952955989555,6.185273741903046,3.89474392080019,5.5608319144144875,3
